Fecha,Precio_Petroleo,Precio_Gas,Precio_Carbon,COP/USD
2017-09-27,52.14,97.25,2.979,2937.47
2017-09-26,51.88,97.0,2.918,2923.85
2017-09-25,52.22,96.95,2.919,2925.92
2017-09-22,50.66,97.2,2.959,2906.03
2017-09-21,50.55,97.3,2.9459999999999997,2915.71
2017-09-20,50.41,97.95,3.094,2891.6
2017-09-19,49.48,98.2,3.122,2903.38
2017-09-18,49.91,98.25,3.146,2907.81
2017-09-15,49.89,99.2,3.024,2897.36
2017-09-14,49.89,100.0,3.07,2899.32
2017-09-13,49.3,100.3,3.058,2911.52
2017-09-12,48.23,99.75,3.001,2908.76
2017-09-11,48.07,99.55,2.95,2922.75
2017-09-08,47.48,98.45,2.89,2907.0
2017-09-07,49.09,97.65,2.981,2906.65
2017-09-06,49.16,97.9,3.0,2913.0
2017-09-05,48.66,97.8,2.972,2934.0
2017-09-01,47.29,95.8,3.07,2931.3
2017-08-31,47.23,95.3,3.04,2946.39
2017-08-30,45.96,97.4,2.939,2953.38
2017-08-29,46.44,97.05,2.961,2935.72
2017-08-28,46.57,97.75,2.925,2947.4
2017-08-25,47.87,98.6,2.892,2926.31
2017-08-24,47.43,98.4,2.949,2960.63
2017-08-23,48.41,98.35,2.928,2981.86
2017-08-22,47.64,98.4,2.939,2984.93
2017-08-21,47.37,98.35,2.9619999999999997,2987.67
2017-08-18,48.51,98.3,2.893,2987.69
2017-08-17,47.09,98.05,2.9290000000000003,2990.43
2017-08-16,46.78,97.45,2.89,2968.91
2017-08-15,47.55,94.95,2.935,2966.06
2017-08-14,47.59,95.45,2.959,2966.63
2017-08-11,48.82,95.8,2.983,2977.49
2017-08-10,48.59,95.85,2.985,2997.03
2017-08-09,49.56,95.2,2.883,3002.36
2017-08-08,49.17,94.05,2.822,2996.7
2017-08-07,49.39,95.0,2.801,2983.05
2017-08-04,49.58,95.35,2.774,2986.96
2017-08-03,49.03,94.55,2.8,2953.7
2017-08-02,49.59,95.05,2.811,2963.24
2017-08-01,49.16,94.7,2.819,2968.74
2017-07-31,50.17,93.2,2.794,2985.98
2017-07-28,49.71,87.2,2.941,3000.72
2017-07-27,49.04,87.3,2.969,3013.06
2017-07-26,48.75,87.25,2.924,3017.93
2017-07-25,47.89,86.8,2.944,3030.8
2017-07-24,46.34,86.35,2.899,3030.2
2017-07-21,45.77,86.45,2.9699999999999998,3014.29
2017-07-20,46.79,86.7,3.043,3000.46
2017-07-19,47.12,85.85,3.066,3004.14
2017-07-18,46.4,85.55,3.088,3011.85
2017-07-17,46.02,84.3,3.02,3030.64
2017-07-14,46.54,83.95,2.98,3027.8
2017-07-13,46.08,83.8,2.961,3044.94
2017-07-12,45.49,83.2,2.985,3049.92
2017-07-11,45.04,83.35,3.047,3073.79
2017-07-10,44.4,82.35,2.9290000000000003,3062.23
2017-07-07,44.23,82.55,2.864,3088.37
2017-07-06,45.52,83.2,2.888,3094.68
2017-07-05,45.13,83.05,2.84,3084.66
2017-07-03,47.07,79.45,2.951,3046.0
2017-06-30,46.04,81.0,3.035,3045.67
2017-06-29,44.93,80.95,3.042,3047.52
2017-06-28,44.74,80.65,3.067,3018.94
2017-06-27,44.24,80.6,3.037,3029.46
2017-06-26,43.38,80.55,3.027,3021.02
